tracking_id,shipment_id,status,timestamp
1,dc84cc15,Order Placed,2025-06-12 02:00:00
2,dc84cc15,Cancelled,2025-06-15 00:00:00
3,ca536e73,Order Placed,2025-06-27 02:00:00
4,ca536e73,Cancelled,2025-06-28 00:00:00
5,704fa19e,Order Placed,2025-09-09 03:00:00
6,704fa19e,Picked Up,2025-09-10 00:00:00
7,704fa19e,In Transit,2025-09-12 00:00:00
8,704fa19e,Out for Delivery,2025-09-13 08:00:00
9,704fa19e,Delivered,2025-09-13 13:00:00
10,aad8a598,Order Placed,2025-07-25 03:00:00
11,aad8a598,Cancelled,2025-07-27 00:00:00
12,e120d4ba,Order Placed,2026-01-06 01:00:00
13,e120d4ba,Picked Up,2026-01-07 00:00:00
14,e120d4ba,In Transit,2026-01-09 00:00:00
15,9ce359e4,Order Placed,2026-02-15 04:00:00
16,9ce359e4,Picked Up,2026-02-17 00:00:00
17,9ce359e4,In Transit,2026-02-18 00:00:00
18,9ce359e4,Out for Delivery,2026-02-21 06:00:00
19,9ce359e4,Delivered,2026-02-21 14:00:00
20,b3e4dbad,Order Placed,2026-01-15 02:00:00
21,b3e4dbad,Cancelled,2026-01-17 00:00:00
22,ce2b8607,Order Placed,2025-09-16 04:00:00
23,ce2b8607,Picked Up,2025-09-18 00:00:00
24,ff237e66,Order Placed,2025-09-05 02:00:00
25,ff237e66,Picked Up,2025-09-06 00:00:00
26,ff237e66,In Transit,2025-09-07 00:00:00
27,ff237e66,Out for Delivery,2025-09-10 08:00:00
28,ff237e66,Delivered,2025-09-10 15:00:00
29,a5eb45cd,Order Placed,2025-05-28 04:00:00
30,a5eb45cd,Picked Up,2025-05-30 00:00:00
31,a5eb45cd,In Transit,2025-05-31 00:00:00
32,a5eb45cd,Out for Delivery,2025-06-04 10:00:00
33,a5eb45cd,Delivered,2025-06-04 18:00:00
34,631b2e4d,Order Placed,2025-09-12 03:00:00
35,631b2e4d,Picked Up,2025-09-14 00:00:00
36,631b2e4d,In Transit,2025-09-16 00:00:00
37,88f21080,Order Placed,2025-12-04 04:00:00
38,88f21080,Cancelled,2025-12-07 00:00:00
39,146af78f,Order Placed,2025-06-09 02:00:00
40,146af78f,Cancelled,2025-06-11 00:00:00
41,96c9241f,Order Placed,2026-01-10 01:00:00
42,96c9241f,Picked Up,2026-01-12 00:00:00
43,96c9241f,In Transit,2026-01-13 00:00:00
44,ec3edcbe,Order Placed,2025-09-25 01:00:00
45,ec3edcbe,Picked Up,2025-09-27 00:00:00
46,ec3edcbe,In Transit,2025-09-29 00:00:00
47,ec3edcbe,Out for Delivery,2025-09-27 10:00:00
48,ec3edcbe,Delivered,2025-09-27 13:00:00
49,be3aa75f,Order Placed,2025-02-25 02:00:00
50,be3aa75f,Picked Up,2025-02-27 00:00:00
51,be3aa75f,In Transit,2025-03-01 00:00:00
